date,Y_h,pred_HAR,pred_HAR-DOW,pred_HAR-X,split
2014-08-06,-2.6988572997803364,-2.7507349431534154,-2.733821179925861,-2.6624216118516704,train
2014-08-07,-2.586857463830856,-2.681269050689719,-2.6968522448877983,-2.583512690512383,train
2014-08-08,-2.6007640225520974,-2.597723330166253,-2.6223746322213026,-2.620432008556286,train
2014-08-11,-2.569661086392178,-2.611928407141029,-2.6228880319790635,-2.677223635044193,train
2014-08-12,-2.5543686310137304,-2.7287456483222594,-2.6836000566465406,-2.7772682520019503,train
2014-08-13,-2.449186082107588,-2.682202202094208,-2.665781376278437,-2.713631398633476,train
2014-08-14,-2.5439760576298354,-2.495892981517871,-2.5059372377348095,-2.546296305438793,train
2014-08-15,-2.6011956269350702,-2.5445340399474707,-2.5722141910090706,-2.5909088783053544,train
2014-08-18,-2.592224659319617,-2.501719556895423,-2.5127525097465275,-2.4846771818638187,train
2014-08-19,-2.5320762413732,-2.619168524623866,-2.5764230537061548,-2.5912410745304264,train
2014-08-20,-2.5386373807673315,-2.448851329992658,-2.43214206736794,-2.431414669689928,train
2014-08-21,-2.504326426824593,-2.482544725508668,-2.502708922340202,-2.4767379227229007,train
2014-08-22,-2.401358008625435,-2.537953305096966,-2.573942587828771,-2.558791489180347,train
2014-08-25,-2.438471716026934,-2.45606478976161,-2.4668186494017044,-2.518388164380282,train
2014-08-26,-2.5128153396946358,-2.487011004415218,-2.446769397692656,-2.559793226324671,train
2014-08-27,-2.606191927844769,-2.438301271999711,-2.42069499010076,-2.4896844678076304,train
2014-08-28,-2.546150918256411,-2.387369981914393,-2.404791547629916,-2.438688559205829,train
2014-08-29,-1.490794341113431,-2.3010445385472496,-2.32667973389363,-2.1494835315730123,train
2014-09-01,-1.4308852994078405,-2.34998550974218,-2.3670024139712234,-2.101632364744118,train
2014-09-02,-1.3645718983083293,-2.561726272637984,-2.5186585961899888,-2.280231692436924,train
2014-09-03,-1.255733462349943,-2.557932477147598,-2.5412269751140704,-2.329115685131365,train
2014-09-04,-1.1948493015734942,-2.3956302012713437,-2.405727754950417,-2.1831864133944183,train
2014-09-05,-1.8137624846172333,-1.90593376215397,-1.8805809010038554,-1.9082320788715696,train
2014-09-08,-1.8446945771778025,-2.0768802768686423,-2.0867917136441676,-2.157385133724271,train
2014-09-09,-1.8526603310814667,-2.0092874624560335,-1.980829603540849,-2.0840727086263873,train
2014-09-10,-1.9184911842306613,-1.804051954348622,-1.796146789886735,-1.8773820817919191,train
2014-09-11,-1.673388503004385,-1.7210703220143106,-1.7381028375529968,-1.6091651590470228,train
2014-09-12,-1.587519846192954,-1.9003212156923737,-1.9274225269424883,-1.7833834610637438,train
2014-09-15,-1.541568749263675,-1.9258999167059379,-1.9432449286442814,-1.7918776598284167,train
2014-09-16,-1.5287415458376614,-1.9572719937875984,-1.927920402266488,-1.8116480626467966,train
2014-09-17,-1.5595991856885691,-1.9336374292111922,-1.9211917957760791,-1.780998431206504,train
2014-09-18,-1.8701447359053975,-1.697721772702313,-1.6936979486343502,-1.7366455354272532,train
2014-09-19,-1.887588247008301,-1.724351614488545,-1.7409866915129206,-1.7967335833382456,train
2014-09-22,-1.9929887686426364,-1.718669903000103,-1.7327245185474753,-1.8144086965410244,train
2014-09-23,-1.974659574047014,-1.7545018550986125,-1.7290295595517302,-1.8136204822109652,train
2014-09-24,-1.7978248139806834,-1.7839908723005848,-1.7770339881483836,-1.8185472014516475,train
2014-09-25,-1.6890708342484084,-1.8516826388884504,-1.8702947352081167,-1.8732088010910555,train
2014-09-26,-1.5190780336835419,-1.7722703568048106,-1.7863830882036746,-1.626599741377926,train
2014-09-29,-1.3527614588778774,-1.9162994372860989,-1.93457150120207,-1.644065590560061,train
2014-09-30,-1.293271295308025,-1.8717855413105684,-1.839607947921843,-1.644359018359532,train
2014-10-01,-1.2620862839432907,-1.704675318057756,-1.6889863753699923,-1.5281110642359401,train
2014-10-02,-1.0647561909948093,-1.6410822338905457,-1.6499419458699316,-1.4814304258393105,train
2014-10-03,-1.0560298658879845,-1.4855672542512095,-1.4886317810643324,-1.4732983523619212,train
2014-10-06,-1.1097724399286963,-1.4149234645544093,-1.4210955030582626,-1.4908194019107532,train
2014-10-07,-1.0697010590979292,-1.4449778081845452,-1.425015827222465,-1.5263622891811761,train
2014-10-08,-1.1093674710405457,-1.3788712767463118,-1.371166956118751,-1.4110183994755214,train
2014-10-09,-0.9268399117733761,-1.1988301092999945,-1.1992059641958381,-1.2198835423638301,train
2014-10-10,-0.7687190833640487,-1.2234896930950567,-1.2341045277036822,-1.2314198464473711,train
2014-10-13,-0.719430128847178,-1.3414416551197539,-1.358724026528637,-1.3686060660638841,train
2014-10-14,-0.7539075020107205,-1.2698807751454428,-1.2533663532878048,-1.282434230039164,train
2014-10-15,-0.7241193622034046,-1.3145982828563563,-1.3100053558873903,-1.3789145454667977,train
2014-10-16,-1.0058554411334435,-1.0568212482283739,-1.0467492486700662,-1.1462908863517776,train
2014-10-17,-1.317710324019654,-1.0015008794138855,-0.9979317565105227,-1.0904748924700893,train
